#Dev nodeId x y z SF DR ConsEnergy RemEnergy 
ED 280 -494.164 -262.089 9.18763 12 0 0.222384 5.26765 
ED 281 -861.932 713.581 27.5725 12 0 0.222384 5.26765 
ED 282 -1481.46 -854.569 26.6375 12 0 0.222384 5.26765 
ED 283 426.551 -1554.38 35.3555 12 0 0.222384 5.26765 
ED 284 120.65 1806.26 22.9176 12 0 0.222384 5.26765 
ED 285 9.19747 2425.93 22.979 12 0 0.222384 5.26765 
ED 286 -1960.63 -306.434 4.77229 12 0 0.222384 5.26765 
ED 287 -1553.88 1968.47 3.07966 12 0 0.222384 5.26765 
ED 288 -1586.61 2364.11 6.38234 12 0 0.222384 5.26765 
ED 289 -1349.53 -112.726 30.5714 12 0 0.222384 5.26765 
ED 290 -494.521 -1267.08 34.3648 12 0 0.222384 5.26765 
ED 291 1822.97 1725.35 11.1475 12 0 0.222384 5.26765 
ED 292 1621.1 188.678 11.4722 12 0 0.222384 5.26765 
ED 293 -1142.61 1939.93 3.16505 12 0 0.222384 5.26765 
ED 294 -1851.98 -1651.45 16.9366 12 0 0.222384 5.26765 
ED 295 1232.78 -1208.04 0.799271 12 0 0.222384 5.26765 
ED 296 1855.23 916.423 29.7593 12 0 0.222384 5.26765 
ED 297 -865.701 1743.53 8.34859 12 0 0.222384 5.26765 
ED 298 1636.83 -289.72 21.1853 12 0 0.222384 5.26765 
ED 299 556.494 -1942.81 16.3238 12 0 0.222384 5.26765 
ED 300 -1764 -89.8891 18.4049 12 0 0.222384 5.26765 
ED 301 54.7856 3.34015 37.5424 9 3 0.0399358 5.45009 
ED 302 -456.618 952.993 4.91134 12 0 0.222384 5.26765 
ED 303 1145.31 534.325 27.4811 12 0 0.222384 5.26765 
ED 304 -1879.47 1876.37 0.560998 12 0 0.222384 5.26765 
ED 305 1205.59 886.682 34.9956 12 0 0.222384 5.26765 
ED 306 -276.03 -1498.03 9.14666 12 0 0.222384 5.26765 
ED 307 1255.09 -1385.29 33.7293 7 5 0.0183865 5.47164 
ED 308 1355.07 -90.8707 34.8375 10 2 0.0631744 5.42685 
ED 309 -866.229 479.63 9.37266 12 0 0.222384 5.26765 
ED 310 -967.72 -1857.48 19.9796 12 0 0.222384 5.26765 
ED 311 -1785.37 1186.36 25.6528 12 0 0.222384 5.26765 
ED 312 557.082 -659.691 31.5385 11 1 0.116244 5.37378 
ED 313 -1490.23 -1760.52 25.3745 12 0 0.222384 5.26765 
ED 314 -64.4897 663.114 13.8738 12 0 0.222384 5.26765 
ED 315 139.406 1103.46 4.82755 7 5 0.0183865 5.47164 
ED 316 -1154.09 -1066.93 32.592 7 5 0.0183865 5.47164 
ED 317 -1150.83 -1638.83 1.52179 12 0 0.222384 5.26765 
ED 318 -946.181 2250.46 4.4822 12 0 0.222384 5.26765 
ED 319 1313.37 -265.562 16.7871 12 0 0.222384 5.26765 
ED 320 56.7729 -1215.09 9.04035 12 0 0.222384 5.26765 
ED 321 1109.12 852.272 0.980973 12 0 0.222384 5.26765 
ED 322 810.175 -1783.87 30.224 12 0 0.222384 5.26765 
ED 323 -1461.6 714.845 10.6209 12 0 0.222384 5.26765 
ED 324 312.438 526.008 32.7674 7 5 0.0183865 5.47164 
ED 325 -1479.9 -234.475 7.59075 12 0 0.222384 5.26765 
ED 326 324.011 380.964 4.90558 12 0 0.222384 5.26765 
ED 327 -1553.55 1746.06 31.3866 12 0 0.222384 5.26765 
ED 328 1534.39 -767.106 22.8672 12 0 0.222384 5.26765 
ED 329 -366.243 557.581 24.8031 12 0 0.222384 5.26765 
ED 330 -796.464 -984.856 11.2446 12 0 0.222384 5.26765 
ED 331 -44.7793 294.818 31.7065 12 0 0.222384 5.26765 
ED 332 -695.617 570.533 18.2804 12 0 0.222384 5.26765 
ED 333 623.697 -350.599 26.7507 10 2 0.0631744 5.42685 
ED 334 -1580.55 1180.83 20.8902 12 0 0.222384 5.26765 
ED 335 -992.121 1722.06 36.229 7 5 0.0183865 5.47164 
ED 336 -1271.66 -1620.48 7.0142 12 0 0.222384 5.26765 
ED 337 1641.12 1995.72 15.2436 12 0 0.222384 5.26765 
ED 338 128.488 1543.61 1.33559 12 0 0.222384 5.26765 
ED 339 1942.18 -580.157 9.89234 12 0 0.222384 5.26765 
ED 340 715.705 911.753 4.53482 12 0 0.222384 5.26765 
ED 341 -668.768 -1633.41 20.5535 12 0 0.222384 5.26765 
ED 342 49.1986 -657.955 36.6438 10 2 0.0631744 5.42685 
ED 343 1242.91 -678.387 15.3936 12 0 0.222384 5.26765 
ED 344 517.501 -271.466 29.8499 12 0 0.222384 5.26765 
ED 345 -791.919 668.113 16.08 12 0 0.222384 5.26765 
ED 346 307.454 -587.268 8.21767 12 0 0.222384 5.26765 
ED 347 -1358.18 -227.411 20.9142 12 0 0.222384 5.26765 
ED 348 -960.882 -927.601 22.4271 7 5 0.0183865 5.47164 
ED 349 -296.383 1809.28 34.4155 10 2 0.0631744 5.42685 
ED 350 18.9189 -1906.87 19.821 12 0 0.222384 5.26765 
ED 351 232.473 -644.253 39.3773 8 4 0.0266683 5.46336 
ED 352 1132.42 2064.19 10.6138 12 0 0.222384 5.26765 
ED 353 -1562.44 -382.891 2.57182 12 0 0.222384 5.26765 
ED 354 101.393 -1138.79 8.527 12 0 0.222384 5.26765 
ED 355 1017.03 578.371 17.5675 12 0 0.222384 5.26765 
ED 356 -698.577 -1836 35.1239 12 0 0.222384 5.26765 
ED 357 1512.81 2289.02 2.7337 12 0 0.222384 5.26765 
ED 358 234.116 2176.62 20.2683 12 0 0.222384 5.26765 
