#nodeId VoltageV totalTxS totalRxS totalStandbyS totalSleepS txCurrentA rxCurrentA standbyCurrentA sleepCurrentA txConsumedEnergy rxConsumedEnergy standbyConsumedEnergy sleepConsumedEnergy totalConsumedEnergy initialEnergyJ remainingEnergyJ SF 
114 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
115 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
116 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
117 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
118 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
119 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
120 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
121 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
122 3.7 0.051456 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.00828184 0 0.0001036 0.010001 0.0183865 5.5 5.47164 7 
123 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
124 3.7 0.102912 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.0165637 0 0.0001036 0.010001 0.0266683 5.5 5.46336 8 
125 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
126 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
127 3.7 1.31891 0 0.02 1801.99 0.0435 0.0112 0.0014 1.5e-06 0.212279 0 0.0001036 0.010001 0.222384 5.5 5.26765 12 
